Country Name,Country Code,Series Name,Series Code,2017 [YR2017]
Afghanistan,AFG,Population growth (annual %),SP.POP.GROW,2.49078956147291
Albania,ALB,Population growth (annual %),SP.POP.GROW,-0.0919722937442495
Algeria,DZA,Population growth (annual %),SP.POP.GROW,1.73845575841731
American Samoa,ASM,Population growth (annual %),SP.POP.GROW,0.0755124091976669
Andorra,AND,Population growth (annual %),SP.POP.GROW,-0.409735671709634
Angola,AGO,Population growth (annual %),SP.POP.GROW,3.31350733468527
Antigua and Barbuda,ATG,Population growth (annual %),SP.POP.GROW,1.0336340333283
Arab World,ARB,Population growth (annual %),SP.POP.GROW,1.97789218715714
Argentina,ARG,Population growth (annual %),SP.POP.GROW,0.96146530564866
Armenia,ARM,Population growth (annual %),SP.POP.GROW,0.192442213171759
Aruba,ABW,Population growth (annual %),SP.POP.GROW,0.420780682346729
Australia,AUS,Population growth (annual %),SP.POP.GROW,1.68452310845434
Austria,AUT,Population growth (annual %),SP.POP.GROW,0.694621103604983
Azerbaijan,AZE,Population growth (annual %),SP.POP.GROW,0.98126180450475
"Bahamas, The",BHS,Population growth (annual %),SP.POP.GROW,1.04985371711888
Bahrain,BHR,Population growth (annual %),SP.POP.GROW,4.62170395867266
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,1.04889803870797
Barbados,BRB,Population growth (annual %),SP.POP.GROW,0.253366526820706
Belarus,BLR,Population growth (annual %),SP.POP.GROW,-0.0344214189254713
Belgium,BEL,Population growth (annual %),SP.POP.GROW,0.448811312055853
Belize,BLZ,Population growth (annual %),SP.POP.GROW,2.08384976822079
Benin,BEN,Population growth (annual %),SP.POP.GROW,2.75229761863942
Bermuda,BMU,Population growth (annual %),SP.POP.GROW,0.153043265331121
Bhutan,BTN,Population growth (annual %),SP.POP.GROW,1.22652008648406
Bolivia,BOL,Population growth (annual %),SP.POP.GROW,1.49247861908284
Bosnia and Herzegovina,BIH,Population growth (annual %),SP.POP.GROW,-0.279021621309928
Botswana,BWA,Population growth (annual %),SP.POP.GROW,1.82311170583398
Brazil,BRA,Population growth (annual %),SP.POP.GROW,0.784485491359962
British Virgin Islands,VGB,Population growth (annual %),SP.POP.GROW,1.72983927704264
Brunei Darussalam,BRN,Population growth (annual %),SP.POP.GROW,1.29149469752361
Bulgaria,BGR,Population growth (annual %),SP.POP.GROW,-0.730443175298289
Burkina Faso,BFA,Population growth (annual %),SP.POP.GROW,2.89106643716766
Burundi,BDI,Population growth (annual %),SP.POP.GROW,3.18076415463639
Cabo Verde,CPV,Population growth (annual %),SP.POP.GROW,1.25753534812847
Cambodia,KHM,Population growth (annual %),SP.POP.GROW,1.52990245330362
Cameroon,CMR,Population growth (annual %),SP.POP.GROW,2.58805882261683
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.21548069054233
Caribbean small states,CSS,Population growth (annual %),SP.POP.GROW,0.535810503442718
Cayman Islands,CYM,Population growth (annual %),SP.POP.GROW,1.29820992014846
Central African Republic,CAF,Population growth (annual %),SP.POP.GROW,1.39317323056446
Central Europe and the Baltics,CEB,Population growth (annual %),SP.POP.GROW,-0.251464296441995
Chad,TCD,Population growth (annual %),SP.POP.GROW,3.04904250329055
Channel Islands,CHI,Population growth (annual %),SP.POP.GROW,0.4686916463612
Chile,CHL,Population growth (annual %),SP.POP.GROW,0.806199812779572
China,CHN,Population growth (annual %),SP.POP.GROW,0.559121331017265
Colombia,COL,Population growth (annual %),SP.POP.GROW,0.843640031809536
Comoros,COM,Population growth (annual %),SP.POP.GROW,2.27544481582807
"Congo, Dem. Rep.",COD,Population growth (annual %),SP.POP.GROW,3.25353256258409
"Congo, Rep.",COG,Population growth (annual %),SP.POP.GROW,2.59828948200411
Costa Rica,CRI,Population growth (annual %),SP.POP.GROW,0.993448432960628
Cote d'Ivoire,CIV,Population growth (annual %),SP.POP.GROW,2.49574384006031
Croatia,HRV,Population growth (annual %),SP.POP.GROW,-1.20061016480925
Cuba,CUB,Population growth (annual %),SP.POP.GROW,0.0753812498408372
Curacao,CUW,Population growth (annual %),SP.POP.GROW,0.319536038312865
Cyprus,CYP,Population growth (annual %),SP.POP.GROW,0.802327688150641
Czech Republic,CZE,Population growth (annual %),SP.POP.GROW,0.265642663548985
Denmark,DNK,Population growth (annual %),SP.POP.GROW,0.643350903737356
Djibouti,DJI,Population growth (annual %),SP.POP.GROW,1.54290020553782
Dominica,DMA,Population growth (annual %),SP.POP.GROW,0.518079657182656
Dominican Republic,DOM,Population growth (annual %),SP.POP.GROW,1.1039350496137
Early-demographic dividend,EAR,Population growth (annual %),SP.POP.GROW,1.34893664300549
East Asia & Pacific,EAS,Population growth (annual %),SP.POP.GROW,0.681268790314178
East Asia & Pacific (excluding high income),EAP,Population growth (annual %),SP.POP.GROW,0.730944352430413
East Asia & Pacific (IDA & IBRD countries),TEA,Population growth (annual %),SP.POP.GROW,0.734076599109912
Ecuador,ECU,Population growth (annual %),SP.POP.GROW,1.452861287257
"Egypt, Arab Rep.",EGY,Population growth (annual %),SP.POP.GROW,1.92973523296491
El Salvador,SLV,Population growth (annual %),SP.POP.GROW,0.520823416513904
Equatorial Guinea,GNQ,Population growth (annual %),SP.POP.GROW,3.71241327666878
Eritrea,ERI,Population growth (annual %),SP.POP.GROW,..
Estonia,EST,Population growth (annual %),SP.POP.GROW,0.121070631466687
Eswatini,SWZ,Population growth (annual %),SP.POP.GROW,1.78254629816248
Ethiopia,ETH,Population growth (annual %),SP.POP.GROW,2.46369925432305
Euro area,EMU,Population growth (annual %),SP.POP.GROW,0.242653870729399
Europe & Central Asia,ECS,Population growth (annual %),SP.POP.GROW,0.415693080258862
Europe & Central Asia (excluding high income),ECA,Population growth (annual %),SP.POP.GROW,0.554103330063754
Europe & Central Asia (IDA & IBRD countries),TEC,Population growth (annual %),SP.POP.GROW,0.492924075732802
European Union,EUU,Population growth (annual %),SP.POP.GROW,0.237193504983452
Faroe Islands,FRO,Population growth (annual %),SP.POP.GROW,0.351601366211501
Fiji,FJI,Population growth (annual %),SP.POP.GROW,0.747345050746054
Finland,FIN,Population growth (annual %),SP.POP.GROW,0.234670531705453
Fragile and conflict affected situations,FCS,Population growth (annual %),SP.POP.GROW,2.36795885510392
France,FRA,Population growth (annual %),SP.POP.GROW,0.366879050766018
French Polynesia,PYF,Population growth (annual %),SP.POP.GROW,0.993944778935653
Gabon,GAB,Population growth (annual %),SP.POP.GROW,2.26485945338282
"Gambia, The",GMB,Population growth (annual %),SP.POP.GROW,2.99930505139305
Georgia,GEO,Population growth (annual %),SP.POP.GROW,0.0133860746662629
Germany,DEU,Population growth (annual %),SP.POP.GROW,0.408591509332189
Ghana,GHA,Population growth (annual %),SP.POP.GROW,2.19818485041117
Gibraltar,GIB,Population growth (annual %),SP.POP.GROW,0.472608484888327
Greece,GRC,Population growth (annual %),SP.POP.GROW,-0.208458218179415
Greenland,GRL,Population growth (annual %),SP.POP.GROW,-0.0267006062623867
Grenada,GRD,Population growth (annual %),SP.POP.GROW,0.47224711502764
Guam,GUM,Population growth (annual %),SP.POP.GROW,0.814983494459748
Guatemala,GTM,Population growth (annual %),SP.POP.GROW,1.97662440108666
Guinea,GIN,Population growth (annual %),SP.POP.GROW,2.5585811788215
Guinea-Bissau,GNB,Population growth (annual %),SP.POP.GROW,2.47960680887292
Guyana,GUY,Population growth (annual %),SP.POP.GROW,0.587432273534753
Haiti,HTI,Population growth (annual %),SP.POP.GROW,1.22680250927908
Heavily indebted poor countries (HIPC),HPC,Population growth (annual %),SP.POP.GROW,2.75439457819195
High income,HIC,Population growth (annual %),SP.POP.GROW,0.53604673310052
Honduras,HND,Population growth (annual %),SP.POP.GROW,1.65637203554262
"Hong Kong SAR, China",HKG,Population growth (annual %),SP.POP.GROW,0.748222904999017
Hungary,HUN,Population growth (annual %),SP.POP.GROW,-0.265860932255517
Iceland,ISL,Population growth (annual %),SP.POP.GROW,2.34558267643862
India,IND,Population growth (annual %),SP.POP.GROW,1.12707105958419
Indonesia,IDN,Population growth (annual %),SP.POP.GROW,1.09537776465479
"Iran, Islamic Rep.",IRN,Population growth (annual %),SP.POP.GROW,1.09683807176374
Iraq,IRQ,Population growth (annual %),SP.POP.GROW,2.84090624149766
Ireland,IRL,Population growth (annual %),SP.POP.GROW,1.17045369153525
Isle of Man,IMN,Population growth (annual %),SP.POP.GROW,0.654670718928995
Israel,ISR,Population growth (annual %),SP.POP.GROW,1.93872567441099
Italy,ITA,Population growth (annual %),SP.POP.GROW,-0.14986111697397
Jamaica,JAM,Population growth (annual %),SP.POP.GROW,0.309928736523676
Japan,JPN,Population growth (annual %),SP.POP.GROW,-0.164484036370785
Jordan,JOR,Population growth (annual %),SP.POP.GROW,2.57399120535817
Kazakhstan,KAZ,Population growth (annual %),SP.POP.GROW,1.36038126908993
Kenya,KEN,Population growth (annual %),SP.POP.GROW,2.52311056260112
Kiribati,KIR,Population growth (annual %),SP.POP.GROW,1.73579813222954
"Korea, Dem. People’s Rep.",PRK,Population growth (annual %),SP.POP.GROW,0.481109847789118
"Korea, Rep.",KOR,Population growth (annual %),SP.POP.GROW,0.429345229786812
Kosovo,XKX,Population growth (annual %),SP.POP.GROW,0.795200110124095
Kuwait,KWT,Population growth (annual %),SP.POP.GROW,2.05020862742205
Kyrgyz Republic,KGZ,Population growth (annual %),SP.POP.GROW,1.93364715643057
Lao PDR,LAO,Population growth (annual %),SP.POP.GROW,1.46599628688074
Late-demographic dividend,LTE,Population growth (annual %),SP.POP.GROW,0.602136250194206
Latin America & Caribbean,LCN,Population growth (annual %),SP.POP.GROW,1.0131960339117
Latin America & Caribbean (excluding high income),LAC,Population growth (annual %),SP.POP.GROW,1.04614375863949
Latin America & the Caribbean (IDA & IBRD countries),TLA,Population growth (annual %),SP.POP.GROW,1.04979958157492
Latvia,LVA,Population growth (annual %),SP.POP.GROW,-0.886215573292392
Least developed countries: UN classification,LDC,Population growth (annual %),SP.POP.GROW,2.35841502742645
Lebanon,LBN,Population growth (annual %),SP.POP.GROW,1.25220998416619
Lesotho,LSO,Population growth (annual %),SP.POP.GROW,1.33051030175139
Liberia,LBR,Population growth (annual %),SP.POP.GROW,2.52712836609116
Libya,LBY,Population growth (annual %),SP.POP.GROW,1.28457467988888
Liechtenstein,LIE,Population growth (annual %),SP.POP.GROW,0.677358783945653
Lithuania,LTU,Population growth (annual %),SP.POP.GROW,-1.39832220092102
Low & middle income,LMY,Population growth (annual %),SP.POP.GROW,1.27783911410427
Low income,LIC,Population growth (annual %),SP.POP.GROW,2.58062880958256
Lower middle income,LMC,Population growth (annual %),SP.POP.GROW,1.41811370081388
Luxembourg,LUX,Population growth (annual %),SP.POP.GROW,2.43097641776115
"Macao SAR, China",MAC,Population growth (annual %),SP.POP.GROW,1.68461319637167
Madagascar,MDG,Population growth (annual %),SP.POP.GROW,2.68058464646082
Malawi,MWI,Population growth (annual %),SP.POP.GROW,2.89029019490127
Malaysia,MYS,Population growth (annual %),SP.POP.GROW,1.39148356363892
Maldives,MDV,Population growth (annual %),SP.POP.GROW,1.9845898234416
Mali,MLI,Population growth (annual %),SP.POP.GROW,2.99524671336318
Malta,MLT,Population growth (annual %),SP.POP.GROW,2.73866285589301
Marshall Islands,MHL,Population growth (annual %),SP.POP.GROW,0.114885174558194
Mauritania,MRT,Population growth (annual %),SP.POP.GROW,2.7329585316341
Mauritius,MUS,Population growth (annual %),SP.POP.GROW,0.0901868114668421
Mexico,MEX,Population growth (annual %),SP.POP.GROW,1.26439519699852
"Micronesia, Fed. Sts.",FSM,Population growth (annual %),SP.POP.GROW,0.57677574959845
Middle East & North Africa,MEA,Population growth (annual %),SP.POP.GROW,1.73742437374318
Middle East & North Africa (excluding high income),MNA,Population growth (annual %),SP.POP.GROW,1.65437831367737
Middle East & North Africa (IDA & IBRD countries),TMN,Population growth (annual %),SP.POP.GROW,1.63869142875687
Middle income,MIC,Population growth (annual %),SP.POP.GROW,1.10833839854921
Moldova,MDA,Population growth (annual %),SP.POP.GROW,-0.0776775631743313
Monaco,MCO,Population growth (annual %),SP.POP.GROW,0.507812579198862
Mongolia,MNG,Population growth (annual %),SP.POP.GROW,1.58117809169789
Montenegro,MNE,Population growth (annual %),SP.POP.GROW,0.011247907097728
Morocco,MAR,Population growth (annual %),SP.POP.GROW,1.30336309078287
Mozambique,MOZ,Population growth (annual %),SP.POP.GROW,2.86987986018184
Myanmar,MMR,Population growth (annual %),SP.POP.GROW,0.91362397180206
Namibia,NAM,Population growth (annual %),SP.POP.GROW,2.15749565244757
Nauru,NRU,Population growth (annual %),SP.POP.GROW,-1.33463890435481
Nepal,NPL,Population growth (annual %),SP.POP.GROW,1.10565316918355
Netherlands,NLD,Population growth (annual %),SP.POP.GROW,0.591203366164118
New Caledonia,NCL,Population growth (annual %),SP.POP.GROW,1.40394758578176
New Zealand,NZL,Population growth (annual %),SP.POP.GROW,2.12296238197075
Nicaragua,NIC,Population growth (annual %),SP.POP.GROW,1.09405499220103
Niger,NER,Population growth (annual %),SP.POP.GROW,3.8170926127811
Nigeria,NGA,Population growth (annual %),SP.POP.GROW,2.59870472229877
North America,NAC,Population growth (annual %),SP.POP.GROW,0.700987473091601
North Macedonia,MKD,Population growth (annual %),SP.POP.GROW,0.0938438236889566
Northern Mariana Islands,MNP,Population growth (annual %),SP.POP.GROW,0.219666594634541
Norway,NOR,Population growth (annual %),SP.POP.GROW,0.807673181884948
Not classified,INX,Population growth (annual %),SP.POP.GROW,..
OECD members,OED,Population growth (annual %),SP.POP.GROW,0.599526196138783
Oman,OMN,Population growth (annual %),SP.POP.GROW,4.669194641437
Other small states,OSS,Population growth (annual %),SP.POP.GROW,2.04962265722615
Pacific island small states,PSS,Population growth (annual %),SP.POP.GROW,1.2365653288682
Pakistan,PAK,Population growth (annual %),SP.POP.GROW,1.95408019712084
Palau,PLW,Population growth (annual %),SP.POP.GROW,1.04553135980469
Panama,PAN,Population growth (annual %),SP.POP.GROW,1.58543418106785
Papua New Guinea,PNG,Population growth (annual %),SP.POP.GROW,2.03446590573128
Paraguay,PRY,Population growth (annual %),SP.POP.GROW,1.27048335443972
Peru,PER,Population growth (annual %),SP.POP.GROW,1.2250705001708
Philippines,PHL,Population growth (annual %),SP.POP.GROW,1.53468335971281
Poland,POL,Population growth (annual %),SP.POP.GROW,0.0124800985844923
Portugal,PRT,Population growth (annual %),SP.POP.GROW,-0.243889410358812
Post-demographic dividend,PST,Population growth (annual %),SP.POP.GROW,0.392317716187591
Pre-demographic dividend,PRE,Population growth (annual %),SP.POP.GROW,2.85540810845559
Puerto Rico,PRI,Population growth (annual %),SP.POP.GROW,-2.42139285886754
Qatar,QAT,Population growth (annual %),SP.POP.GROW,2.66503774458275
Romania,ROU,Population growth (annual %),SP.POP.GROW,-0.602481291223894
Russian Federation,RUS,Population growth (annual %),SP.POP.GROW,0.106871954284237
Rwanda,RWA,Population growth (annual %),SP.POP.GROW,2.41162334022622
Samoa,WSM,Population growth (annual %),SP.POP.GROW,0.671666233544779
San Marino,SMR,Population growth (annual %),SP.POP.GROW,0.591566669677813
Sao Tome and Principe,STP,Population growth (annual %),SP.POP.GROW,2.18543864140561
Saudi Arabia,SAU,Population growth (annual %),SP.POP.GROW,2.03192507950024
Senegal,SEN,Population growth (annual %),SP.POP.GROW,2.80838915230027
Serbia,SRB,Population growth (annual %),SP.POP.GROW,-0.532191341024444
Seychelles,SYC,Population growth (annual %),SP.POP.GROW,1.22403375818123
Sierra Leone,SLE,Population growth (annual %),SP.POP.GROW,2.15373363486272
Singapore,SGP,Population growth (annual %),SP.POP.GROW,0.0885954699924263
Sint Maarten (Dutch part),SXM,Population growth (annual %),SP.POP.GROW,2.8122921985989
Slovak Republic,SVK,Population growth (annual %),SP.POP.GROW,0.155178995687406
Slovenia,SVN,Population growth (annual %),SP.POP.GROW,0.0651590392490152
Small states,SST,Population growth (annual %),SP.POP.GROW,1.72398324638527
Solomon Islands,SLB,Population growth (annual %),SP.POP.GROW,1.96973237099163
Somalia,SOM,Population growth (annual %),SP.POP.GROW,2.92188314012906
South Africa,ZAF,Population growth (annual %),SP.POP.GROW,1.24487837812685
South Asia,SAS,Population growth (annual %),SP.POP.GROW,1.24520019663068
South Asia (IDA & IBRD),TSA,Population growth (annual %),SP.POP.GROW,1.24520019663068
South Sudan,SSD,Population growth (annual %),SP.POP.GROW,2.78158564915929
Spain,ESP,Population growth (annual %),SP.POP.GROW,0.235509001837601
Sri Lanka,LKA,Population growth (annual %),SP.POP.GROW,1.13022048648777
St. Kitts and Nevis,KNA,Population growth (annual %),SP.POP.GROW,0.951298861162768
St. Lucia,LCA,Population growth (annual %),SP.POP.GROW,0.464610107213174
St. Martin (French part),MAF,Population growth (annual %),SP.POP.GROW,0.54936617861992
St. Vincent and the Grenadines,VCT,Population growth (annual %),SP.POP.GROW,0.231393015698368
Sub-Saharan Africa,SSF,Population growth (annual %),SP.POP.GROW,2.6998290709235
Sub-Saharan Africa (excluding high income),SSA,Population growth (annual %),SP.POP.GROW,2.69996362642253
Sub-Saharan Africa (IDA & IBRD countries),TSS,Population growth (annual %),SP.POP.GROW,2.6998290709235
Sudan,SDN,Population growth (annual %),SP.POP.GROW,2.38302698057069
Suriname,SUR,Population growth (annual %),SP.POP.GROW,0.89751620959064
Sweden,SWE,Population growth (annual %),SP.POP.GROW,1.34744505956262
Switzerland,CHE,Population growth (annual %),SP.POP.GROW,0.921453610076294
Syrian Arab Republic,SYR,Population growth (annual %),SP.POP.GROW,-0.875120546475725
Tajikistan,TJK,Population growth (annual %),SP.POP.GROW,2.11141618431339
Tanzania,TZA,Population growth (annual %),SP.POP.GROW,3.07923658844019
Thailand,THA,Population growth (annual %),SP.POP.GROW,0.252353584486131
Timor-Leste,TLS,Population growth (annual %),SP.POP.GROW,2.15526424183978
Togo,TGO,Population growth (annual %),SP.POP.GROW,2.48414689557551
Tonga,TON,Population growth (annual %),SP.POP.GROW,0.834802330638377
Trinidad and Tobago,TTO,Population growth (annual %),SP.POP.GROW,0.304526024019675
Tunisia,TUN,Population growth (annual %),SP.POP.GROW,1.12385654480134
Turkey,TUR,Population growth (annual %),SP.POP.GROW,1.53829770411437
Turkmenistan,TKM,Population growth (annual %),SP.POP.GROW,1.67299562627925
Turks and Caicos Islands,TCA,Population growth (annual %),SP.POP.GROW,1.55235824245664
Tuvalu,TUV,Population growth (annual %),SP.POP.GROW,0.852443584475346
Uganda,UGA,Population growth (annual %),SP.POP.GROW,3.26046178844302
Ukraine,UKR,Population growth (annual %),SP.POP.GROW,-0.386283095113929
United Arab Emirates,ARE,Population growth (annual %),SP.POP.GROW,1.39835914347815
United Kingdom,GBR,Population growth (annual %),SP.POP.GROW,0.649947160993822
United States,USA,Population growth (annual %),SP.POP.GROW,0.640458800224899
Upper middle income,UMC,Population growth (annual %),SP.POP.GROW,0.753232776752256
Uruguay,URY,Population growth (annual %),SP.POP.GROW,0.369351256234469
Uzbekistan,UZB,Population growth (annual %),SP.POP.GROW,1.67918372339528
Vanuatu,VUT,Population growth (annual %),SP.POP.GROW,2.13747925479187
"Venezuela, RB",VEN,Population growth (annual %),SP.POP.GROW,1.28693075208341
Vietnam,VNM,Population growth (annual %),SP.POP.GROW,1.02228932406799
Virgin Islands (U.S.),VIR,Population growth (annual %),SP.POP.GROW,-0.225349060342092
West Bank and Gaza,PSE,Population growth (annual %),SP.POP.GROW,2.88469662660913
World,WLD,Population growth (annual %),SP.POP.GROW,1.15409266875722
"Yemen, Rep.",YEM,Population growth (annual %),SP.POP.GROW,2.3864708419352
Zambia,ZMB,Population growth (annual %),SP.POP.GROW,2.98512436170626
Zimbabwe,ZWE,Population growth (annual %),SP.POP.GROW,2.32286399154265
,,,,
,,,,
,,,,
Data from database: Population estimates and projections,,,,
Last Updated: 04/25/2019,,,,
